media_type,media_series,creation_category,date,time_start,time_end,duration,media_title,video_type,video_subtype
Movies,Jurassic Park Series,Writing Script,7/7/2025,8:12:00 PM,9:26:00 PM,74,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Recording Audio,7/7/2025,11:09:00 PM,11:27:00 PM,18,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Recording Video,7/7/2025,11:27:00 PM,11:46:00 PM,19,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Recording Audio,7/8/2025,10:31:00 AM,10:44:00 AM,13,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Recording Audio,7/8/2025,11:13:00 AM,11:28:00 AM,15,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Recording Video,7/8/2025,11:39:00 AM,12:23:00 PM,44,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Recording Video,7/8/2025,12:26:00 PM,12:45:00 PM,19,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Editing Video,7/9/2025,10:37:00 AM,11:08:00 AM,31,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Recording Video,7/9/2025,12:00:00 PM,12:25:00 PM,25,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Recording Video,7/9/2025,12:49:00 PM,1:03:00 PM,14,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Recording Video,7/9/2025,1:32:00 PM,1:51:00 PM,19,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Recording Video,7/9/2025,1:58:00 PM,2:50:00 PM,52,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Recording Video,7/9/2025,2:55:00 PM,2:59:00 PM,4,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Recording Video,7/10/2025,12:54:00 PM,2:01:00 PM,67,Jurassic Park Movies,Rankings,Movie Series By Category
