media_type,media_series,creation_category,date,time_start,time_end,duration,media_title,video_type,video_subtype
Movies,Jurassic Park Series,Editing Video,6/15/2025,11:20:00 PM,11:58:00 PM,38,Jurassic World: Fallen Kingdom,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/15/2025,12:01:00 AM,1:15:00 AM,74,Jurassic World: Fallen Kingdom,Review,3 Things
Movies,Jurassic Park Series,Uploading Video,6/15/2025,1:22:00 PM,1:24:00 PM,2,Jurassic World: Fallen Kingdom,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/15/2025,1:24:00 AM,1:57:00 AM,33,Jurassic World: Fallen Kingdom,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/15/2025,2:10:00 AM,2:14:00 AM,4,Jurassic World: Fallen Kingdom,Review,3 Things
Movies,Jurassic Park Series,Uploading Video,6/15/2025,2:14:00 AM,2:31:00 AM,17,Jurassic World: Fallen Kingdom,Review,3 Things
Movies,Jurassic Park Series,Monetization,6/16/2025,8:06:00 AM,8:08:00 AM,2,Jurassic World: Fallen Kingdom,Review,3 Things
Movies,Jurassic Park Series,Writing Script,6/16/2025,4:54:00 PM,4:59:00 PM,5,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Writing Script,6/17/2025,2:46:00 PM,2:54:00 PM,8,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Writing Script,6/17/2025,2:57:00 PM,3:00:00 PM,3,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Writing Script,6/17/2025,4:20:00 PM,4:38:00 PM,18,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Writing Script,6/17/2025,4:56:00 PM,5:02:00 PM,6,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Pictures,6/17/2025,12:21:00 AM,12:29:00 AM,8,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Writing Script,6/17/2025,12:29:00 AM,12:31:00 AM,2,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Pictures,6/18/2025,11:16:00 AM,11:44:00 AM,28,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Writing Script,6/19/2025,9:10:00 AM,10:35:00 AM,85,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Writing Script,6/19/2025,10:54:00 AM,11:09:00 AM,15,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Writing Script,6/19/2025,7:44:00 PM,8:21:00 PM,37,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Writing Script,6/19/2025,8:28:00 PM,8:38:00 PM,10,Jurassic World: Dominion,Review,3 Things
Movies,Jaws Series,Monetization,6/19/2025,9:54:00 PM,9:58:00 PM,4,Jaws The Revenge,Review,3 Things
Movies,Jaws Series,Monetization,6/19/2025,9:59:00 PM,10:02:00 PM,3,Jaws Movies,Rankings,Movie Series By Category
Movies,Indiana Jones Series,Monetization,6/19/2025,10:12:00 PM,10:14:00 PM,2,Raiders of the Lost Ark,Review,3 Things
Movies,Jurassic Park Series,Writing Script,6/19/2025,10:16:00 PM,10:28:00 PM,12,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Writing Script,6/19/2025,10:38:00 PM,11:04:00 PM,26,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Writing Script,6/20/2025,10:24:00 AM,12:26:00 PM,122,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/20/2025,1:40:00 PM,1:44:00 PM,4,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Recording Audio,6/20/2025,2:13:00 PM,3:24:00 PM,71,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/20/2025,6:44:00 PM,6:54:00 PM,10,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/20/2025,9:35:00 PM,9:41:00 PM,6,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Writing Script,6/21/2025,9:34:00 AM,10:22:00 AM,48,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Editing Video,6/21/2025,5:41:00 PM,6:01:00 PM,20,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Uploading Video,6/21/2025,6:37:00 PM,6:38:00 PM,1,Jurassic World,Review,3 Things
Movies,Jurassic Park Series,Recording Video,6/22/2025,3:31:00 PM,3:51:00 PM,20,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Writing Script,6/22/2025,7:23:00 PM,7:30:00 PM,7,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Writing Script,6/22/2025,9:20:00 PM,9:29:00 PM,9,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Writing Script,6/22/2025,9:36:00 PM,9:39:00 PM,3,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Writing Script,6/22/2025,9:42:00 PM,9:45:00 PM,3,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Uploading Video,6/22/2025,9:55:00 PM,9:57:00 PM,2,Jurassic World: Fallen Kingdom,Review,3 Things
Movies,Jurassic Park Series,Writing Script,6/22/2025,10:06:00 PM,10:30:00 PM,24,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Writing Script,6/22/2025,10:51:00 PM,11:02:00 PM,11,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Writing Script,6/23/2025,12:01:00 PM,12:41:00 PM,40,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Subtitles,6/23/2025,12:45:00 PM,12:47:00 PM,2,Jurassic World: Fallen Kingdom,Review,3 Things
Movies,Indiana Jones Series,Monetization,6/23/2025,12:49:00 PM,12:53:00 PM,4,Indiana Jones and the Temple of Doom,Review,3 Things
Movies,Jurassic Park Series,Subtitles,6/23/2025,12:54:00 PM,1:19:00 PM,25,Jurassic World: Fallen Kingdom,Review,3 Things
Movies,Jurassic Park Series,Recording Audio,6/23/2025,4:12:00 PM,4:40:00 PM,28,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Recording Audio,6/23/2025,4:51:00 PM,5:02:00 PM,11,Jurassic Park Movies,Rankings,Movie Series By Category
Movies,Jurassic Park Series,Recording Audio,6/23/2025,5:21:00 PM,5:23:00 PM,2,Jurassic Park Movies,Rankings,Movie Series By Category
